"employee_id","first_name","last_name","email","department","salary","joining_date","age","monthlybonus","annualbasicpay","annualbonus","tax","deduction","annualfinalpay","netpay","experience","fullname"
304,"Wendy","May","stephensdavid@miller.info","IT","86333.77","2021-06-14",56,"8633.38","1036005.24","103600.56",5,"51800.26","984204.98","1087805.54",NULL,"Wendy May"
202,"Todd","Jones","fgutierrez@hotmail.com","Operations","81495.45","2020-05-16",34,"8149.55","977945.40","97794.60",5,"48897.27","929048.13","1026842.73",NULL,"Todd Jones"
206,"Elizabeth","Maynard","tinasmith@yahoo.com","Operations","92737.85","2023-11-11",50,"9273.79","1112854.20","111285.48",5,"55642.71","1057211.49","1168496.97",NULL,"Elizabeth Maynard"
207,"Rodney","Curry","matthewkim@zamora.com","HR","91764.93","2021-02-26",26,"9176.49","1101179.16","110117.88",5,"55058.96","1046120.20","1156238.08",NULL,"Rodney Curry"
212,"Teresa","Howard","courtney51@hotmail.com","HR","69423.75","2022-07-25",44,"6942.38","833085.00","83308.56",5,"41654.25","791430.75","874739.31",NULL,"Teresa Howard"
214,"James","Kennedy","kimberly74@hotmail.com","Operations","85152.36","2023-06-01",54,"8515.24","1021828.32","102182.88",5,"51091.42","970736.90","1072919.78",NULL,"James Kennedy"
217,"Jill","Mccarthy","suarezpeter@hotmail.com","Operations","70908.83","2023-11-07",22,"7090.88","850905.96","85090.56",5,"42545.30","808360.66","893451.22",NULL,"Jill Mccarthy"
222,"Julie","Lane","wcollier@smith.info","HR","80795.63","2023-11-08",49,"8079.56","969547.56","96954.72",5,"48477.38","921070.18","1018024.90",NULL,"Julie Lane"
228,"Michelle","Taylor","abbottleslie@hotmail.com","Marketing","90016.84","2022-04-24",41,"9001.68","1080202.08","108020.16",5,"54010.10","1026191.98","1134212.14",NULL,"Michelle Taylor"
229,"Austin","Barry","jefferylarson@chavez.com","Marketing","83931.26","2022-04-18",25,"8393.13","1007175.12","100717.56",5,"50358.76","956816.36","1057533.92",NULL,"Austin Barry"
230,"James","Padilla","michael71@hotmail.com","IT","94536.32","2020-03-08",27,"9453.63","1134435.84","113443.56",5,"56721.79","1077714.05","1191157.61",NULL,"James Padilla"
231,"Robert","Torres","lgonzalez@gray-colon.com","IT","83708.62","2022-12-22",46,"8370.86","1004503.44","100450.32",5,"50225.17","954278.27","1054728.59",NULL,"Robert Torres"
233,"Lisa","Morgan","smithbarbara@powell.com","Operations","90939.23","2023-05-22",39,"9093.92","1091270.76","109127.04",5,"54563.54","1036707.22","1145834.26",NULL,"Lisa Morgan"
235,"Kristin","Meadows","adriennesharp@brown.com","IT","81983.07","2021-07-27",35,"8198.31","983796.84","98379.72",5,"49189.84","934607.00","1032986.72",NULL,"Kristin Meadows"
77,"Shawn","Banks","adamsdale@hamilton-baldwin.org","Operations","79243.09","2022-08-28",26,"7924.31","950917.08","95091.72",5,"47545.85","903371.23","998462.95",NULL,"Shawn Banks"
78,"Brian","Campbell","warecarrie@hotmail.com","Finance","73643.21","2023-07-30",59,"7364.32","883718.52","88371.84",5,"44185.93","839532.59","927904.43",NULL,"Brian Campbell"
80,"Aaron","Foster","ramirezdaniel@anderson.com","HR","90474.37","2024-02-09",56,"9047.44","1085692.44","108569.28",5,"54284.62","1031407.82","1139977.10",NULL,"Aaron Foster"
81,"Frank","Harper","dannymacdonald@gmail.com","Operations","89616.97","2024-11-24",60,"8961.70","1075403.64","107540.40",5,"53770.18","1021633.46","1129173.86",NULL,"Frank Harper"
82,"William","Williams","cynthia43@evans.com","Marketing","72750.58","2022-03-28",59,"7275.06","873006.96","87300.72",5,"43650.35","829356.61","916657.33",NULL,"William Williams"
83,"Regina","Cruz","iclarke@gmail.com","HR","67870.50","2020-07-08",54,"6787.05","814446.00","81444.60",5,"40722.30","773723.70","855168.30",NULL,"Regina Cruz"
289,"Julie","Fox","noblechad@hotmail.com","HR","98667.70","2021-08-16",46,"9866.77","1184012.40","118401.24",5,"59200.62","1124811.78","1243213.02",NULL,"Julie Fox"
290,"Thomas","Lewis","jacksontara@hotmail.com","HR","85008.82","2021-08-26",47,"8500.88","1020105.84","102010.56",5,"51005.29","969100.55","1071111.11",NULL,"Thomas Lewis"
291,"John","Fitzpatrick","ashleyjohnson@hotmail.com","HR","86338.68","2022-08-09",53,"8633.87","1036064.16","103606.44",5,"51803.21","984260.95","1087867.39",NULL,"John Fitzpatrick"
293,"April","Lawrence","pfarmer@tyler-hill.com","Marketing","92850.09","2023-01-07",31,"9285.01","1114201.08","111420.12",5,"55710.05","1058491.03","1169911.15",NULL,"April Lawrence"
294,"Matthew","Guerrero","joshuatucker@zuniga.org","IT","67867.41","2024-07-06",29,"6786.74","814408.92","81440.88",5,"40720.45","773688.47","855129.35",NULL,"Matthew Guerrero"
296,"Mary","Kennedy","kelleyerik@rodriguez-romero.info","Marketing","87357.82","2020-09-19",23,"8735.78","1048293.84","104829.36",5,"52414.69","995879.15","1100708.51",NULL,"Mary Kennedy"
297,"Tonya","Olson","austinsmith@yahoo.com","Finance","71725.78","2020-08-30",34,"7172.58","860709.36","86070.96",5,"43035.47","817673.89","903744.85",NULL,"Tonya Olson"
806,"Lindsey","Payne","frodriguez@perez.com","Operations","63803.69","2023-08-06",48,"6380.37","765644.28","76564.44",2,"15312.89","750331.39","826895.83",NULL,"Lindsey Payne"
299,"Robert","Weaver","joshua18@hotmail.com","IT","94593.15","2023-08-16",33,"9459.32","1135117.80","113511.84",5,"56755.89","1078361.91","1191873.75",NULL,"Robert Weaver"
301,"Nathan","Smith","vstewart@harvey.com","Operations","70250.42","2020-03-22",26,"7025.04","843005.04","84300.48",5,"42150.25","800854.79","885155.27",NULL,"Nathan Smith"
305,"Joseph","Watson","grimeskimberly@salazar.info","Operations","99160.74","2022-06-27",45,"9916.07","1189928.88","118992.84",5,"59496.44","1130432.44","1249425.28",NULL,"Joseph Watson"
807,"Mary","Leon","jameshunter@mendoza.org","HR","57259.74","2023-04-22",28,"5725.97","687116.88","68711.64",2,"13742.34","673374.54","742086.18",NULL,"Mary Leon"
309,"Blake","Farmer","prosales@hotmail.com","IT","66745.29","2023-04-01",35,"6674.53","800943.48","80094.36",5,"40047.17","760896.31","840990.67",NULL,"Blake Farmer"
809,"David","Vasquez","thorntonthomas@yahoo.com","HR","46619.94","2022-02-18",40,"4661.99","559439.28","55943.88",2,"11188.79","548250.49","604194.37",NULL,"David Vasquez"
812,"Sheri","Harris","rayturner@moore.com","Marketing","56796.66","2022-03-17",39,"5679.67","681559.92","68156.04",2,"13631.20","667928.72","736084.76",NULL,"Sheri Harris"
313,"Paul","Johnston","zachary08@gmail.com","Finance","92469.09","2024-08-08",37,"9246.91","1109629.08","110962.92",5,"55481.45","1054147.63","1165110.55",NULL,"Paul Johnston"
315,"Heather","Lane","mcdonaldelizabeth@hotmail.com","Marketing","82759.74","2023-06-01",45,"8275.97","993116.88","99311.64",5,"49655.84","943461.04","1042772.68",NULL,"Heather Lane"
317,"Cody","Carter","karanorris@hotmail.com","Finance","69323.64","2022-07-15",47,"6932.36","831883.68","83188.32",5,"41594.18","790289.50","873477.82",NULL,"Cody Carter"
318,"Gabriella","Ramos","timothy93@yahoo.com","HR","88850.20","2020-09-15",23,"8885.02","1066202.40","106620.24",5,"53310.12","1012892.28","1119512.52",NULL,"Gabriella Ramos"
336,"Ronald","Allen","tinabarnes@long-young.com","Operations","89925.39","2021-06-16",59,"8992.54","1079104.68","107910.48",5,"53955.23","1025149.45","1133059.93",NULL,"Ronald Allen"
339,"Cassandra","Baxter","btucker@booth-franklin.com","Operations","66981.66","2021-05-02",25,"6698.17","803779.92","80378.04",5,"40189.00","763590.92","843968.96",NULL,"Cassandra Baxter"
340,"Clifford","Wells","melissa54@sweeney-malone.biz","HR","74324.30","2023-02-28",43,"7432.43","891891.60","89189.16",5,"44594.58","847297.02","936486.18",NULL,"Clifford Wells"
858,"Heather","Ortiz","mshah@gmail.com","Operations","60848.71","2020-01-16",22,"6084.87","730184.52","73018.44",2,"14603.69","715580.83","788599.27",NULL,"Heather Ortiz"
341,"Tammy","Erickson","ncase@hotmail.com","Operations","68097.43","2024-07-01",36,"6809.74","817169.16","81716.88",5,"40858.46","776310.70","858027.58",NULL,"Tammy Erickson"
878,"Kimberly","Anderson","smithmichelle@roberts-wilson.com","Finance","61449.16","2024-05-30",40,"6144.92","737389.92","73739.04",2,"14747.80","722642.12","796381.16",NULL,"Kimberly Anderson"
346,"Lori","Mcclure","wanda90@gmail.com","Marketing","93482.76","2024-08-01",43,"9348.28","1121793.12","112179.36",5,"56089.66","1065703.46","1177882.82",NULL,"Lori Mcclure"
879,"Matthew","Perez","patricia53@lopez.info","Marketing","62012.81","2020-12-27",41,"6201.28","744153.72","74415.36",2,"14883.07","729270.65","803686.01",NULL,"Matthew Perez"
347,"Patrick","Miller","mcphersonlinda@adams.com","Finance","69154.14","2020-06-14",40,"6915.41","829849.68","82984.92",5,"41492.48","788357.20","871342.12",NULL,"Patrick Miller"
350,"Jason","Boone","daniellewright@gmail.com","IT","98618.71","2024-06-29",40,"9861.87","1183424.52","118342.44",5,"59171.23","1124253.29","1242595.73",NULL,"Jason Boone"
351,"Sarah","Miller","qhayes@smith-foster.com","HR","71823.84","2023-12-30",29,"7182.38","861886.08","86188.56",5,"43094.30","818791.78","904980.34",NULL,"Sarah Miller"
355,"Daniel","Gonzalez","mstein@thompson.org","Operations","92251.56","2020-01-03",24,"9225.16","1107018.72","110701.92",5,"55350.94","1051667.78","1162369.70",NULL,"Daniel Gonzalez"
882,"Jennifer","Dawson","robert73@foster.com","Marketing","52692.50","2020-08-21",46,"5269.25","632310.00","63231.00",2,"12646.20","619663.80","682894.80",NULL,"Jennifer Dawson"
35,"Kenneth","Phillips","michael73@webb.com","Finance","51958.01","2021-11-01",40,"5195.80","623496.12","62349.60",2,"12469.92","611026.20","673375.80",NULL,"Kenneth Phillips"
37,"Dylan","Warner","robertschristopher@wilkerson.org","IT","57348.57","2022-12-15",31,"5734.86","688182.84","68818.32",2,"13763.66","674419.18","743237.50",NULL,"Dylan Warner"
375,"Michael","Miller","kathleen89@vaughn-frederick.biz","Marketing","70228.87","2023-05-15",26,"7022.89","842746.44","84274.68",5,"42137.32","800609.12","884883.80",NULL,"Michael Miller"
38,"Anthony","Moran","pearsonmichael@schmidt-hernandez.info","Marketing","61178.71","2022-07-17",33,"6117.87","734144.52","73414.44",2,"14682.89","719461.63","792876.07",NULL,"Anthony Moran"
376,"Kenneth","James","warnerjamie@gmail.com","Finance","69447.77","2021-01-15",49,"6944.78","833373.24","83337.36",5,"41668.66","791704.58","875041.94",NULL,"Kenneth James"
39,"Jessica","Stokes","robertjones@gmail.com","IT","60328.03","2022-12-24",24,"6032.80","723936.36","72393.60",2,"14478.73","709457.63","781851.23",NULL,"Jessica Stokes"
42,"James","Vaughn","jessicaperez@hall.com","HR","47270.87","2023-11-18",51,"4727.09","567250.44","56725.08",2,"11345.01","555905.43","612630.51",NULL,"James Vaughn"
44,"Vanessa","Rosario","angela21@yahoo.com","Marketing","65408.88","2021-04-15",42,"6540.89","784906.56","78490.68",2,"15698.13","769208.43","847699.11",NULL,"Vanessa Rosario"
377,"Elizabeth","Torres","derektucker@kemp.com","IT","86194.62","2024-08-24",31,"8619.46","1034335.44","103433.52",5,"51716.77","982618.67","1086052.19",NULL,"Elizabeth Torres"
45,"Dwayne","Kline","zjenkins@shaffer.com","HR","55993.32","2023-04-17",31,"5599.33","671919.84","67191.96",2,"13438.40","658481.44","725673.40",NULL,"Dwayne Kline"
47,"Michelle","Perez","waterscharles@gmail.com","Finance","44352.52","2023-11-29",29,"4435.25","532230.24","53223.00",2,"10644.60","521585.64","574808.64",NULL,"Michelle Perez"
394,"Penny","Ingram","salinassara@yahoo.com","HR","96482.00","2020-12-12",43,"9648.20","1157784.00","115778.40",5,"57889.20","1099894.80","1215673.20",NULL,"Penny Ingram"
395,"Zachary","Snow","christinefowler@gmail.com","Operations","91679.45","2023-05-26",57,"9167.95","1100153.40","110015.40",5,"55007.67","1045145.73","1155161.13",NULL,"Zachary Snow"
398,"Holly","Nelson","brendakennedy@turner-zimmerman.info","Marketing","89488.25","2021-10-20",46,"8948.83","1073859.00","107385.96",5,"53692.95","1020166.05","1127552.01",NULL,"Holly Nelson"
399,"Karen","Campbell","tamara74@hotmail.com","IT","91227.56","2022-12-24",35,"9122.76","1094730.72","109473.12",5,"54736.54","1039994.18","1149467.30",NULL,"Karen Campbell"
400,"Christina","Edwards","dannyramirez@yahoo.com","Marketing","97886.57","2023-03-24",22,"9788.66","1174638.84","117463.92",5,"58731.94","1115906.90","1233370.82",NULL,"Christina Edwards"
402,"Jill","Daniel","kevin13@hotmail.com","IT","71817.32","2020-06-20",43,"7181.73","861807.84","86180.76",5,"43090.39","818717.45","904898.21",NULL,"Jill Daniel"
404,"Pamela","Johnson","molinaheather@potter.com","Marketing","89159.60","2021-11-11",35,"8915.96","1069915.20","106991.52",5,"53495.76","1016419.44","1123410.96",NULL,"Pamela Johnson"
406,"Megan","Gomez","johnhurley@hotmail.com","Operations","91382.24","2020-12-21",22,"9138.22","1096586.88","109658.64",5,"54829.34","1041757.54","1151416.18",NULL,"Megan Gomez"
407,"Ruben","Gregory","dunnchristina@jones.net","Finance","98529.36","2023-08-15",29,"9852.94","1182352.32","118235.28",5,"59117.62","1123234.70","1241469.98",NULL,"Ruben Gregory"
411,"Joshua","Aguilar","hendersonkelly@gardner.com","Finance","90940.26","2021-07-26",52,"9094.03","1091283.12","109128.36",5,"54564.16","1036718.96","1145847.32",NULL,"Joshua Aguilar"
412,"James","Martinez","solisstacey@martin.biz","Operations","91281.87","2023-05-19",41,"9128.19","1095382.44","109538.28",5,"54769.12","1040613.32","1150151.60",NULL,"James Martinez"
