customer_id,name,email,city,join_date
1,Heather Valencia,williamscynthia@cabrera-singh.biz,Mayberg,05-02-2022
2,Scott Rush,thompsonjennifer@hotmail.com,Oconnellstad,06-01-2024
3,Jason Clark,christopher30@gmail.com,Port Deborah,14-04-2023
4,Rodney Moore,lblack@jones.com,Lake James,20-01-2024
5,Steven Long,xglover@yahoo.com,Danielmouth,22-05-2024
6,Sarah Smith,hollowaysarah@hotmail.com,North Alexander,28-03-2022
7,Lisa Hayes,ubush@cole.com,Sullivanland,02-12-2022
8,Brett Gutierrez,jenniferkeith@jones.com,Lake Steventon,20-03-2022
9,Katie Burton,smithjulie@parker.com,Alexandermouth,25-11-2021
10,Dr. Stephanie Harris DDS,stephen10@mathis-henry.com,Port Cory,22-02-2022
11,Laura Spence,phaley@reed.com,Amandabury,16-01-2025
12,William Miller,mjones@mitchell.org,Fryechester,19-12-2022
13,Justin Hebert,johnhardy@hotmail.com,East Chad,07-12-2020
14,Natasha Patel,virginiawhite@gmail.com,Masonbury,20-02-2022
15,Robin Sims,iwhite@simpson.info,Lake Ann,04-10-2023
16,Patrick Carpenter,brian54@fischer.com,New Ronaldfurt,09-01-2021
17,Melissa Ferrell,james61@smith.biz,Port David,10-07-2022
18,Paula Higgins,kramirez@kramer-sweeney.com,West Taylormouth,10-05-2024
19,Natasha Smith,fthompson@green-gregory.com,Dyerport,26-08-2025
20,Lindsey Frederick,samuelhale@gmail.com,Port Emilyburgh,15-10-2021
21,Kayla Taylor,morgandaniels@yahoo.com,North Billy,27-10-2024
22,Jonathan Brown,christinastewart@yahoo.com,Petersonland,17-02-2025
23,David Alvarez,jessica66@ramos-smith.com,Rivaston,25-03-2021
24,Stanley Thornton,guerrerorebecca@craig.info,South Elizabethstad,19-02-2024
25,Lydia Martin,sandersdonna@gmail.com,North Williamborough,11-05-2021
26,John Cooper,lisa76@yahoo.com,Stewartfurt,15-09-2023
27,Aaron Davis,jennifer83@yahoo.com,Ronaldton,30-06-2021
28,Ryan Reyes,heather35@hotmail.com,Cameronville,04-07-2021
29,Samantha Lewis,michaelrodriguez@yahoo.com,West Mauriceport,25-11-2022
30,Angela Parker,xsullivan@yahoo.com,Zamorafurt,21-06-2021
31,Jeffrey Dunn,wagnermindy@gmail.com,Perryborough,11-04-2025
32,Michaela Dixon,efritz@yahoo.com,Sheaview,29-08-2022
33,Alicia Parker,heather12@yahoo.com,Andrewmouth,11-12-2020
34,Amanda Morse,jessicamay@moore.com,Potterbury,10-09-2022
35,Brandy Garner,ricardolee@anderson-porter.biz,Benjamintown,07-05-2022
36,Michael Holland,james41@yahoo.com,South Sharonport,20-03-2022
37,Anne Lopez,handerson@hotmail.com,Gonzalezview,23-03-2023
38,Sheryl Hamilton,justin66@gmail.com,New David,07-12-2020
39,Jeffery Jones,llewis@yahoo.com,North Jeremy,18-01-2024
40,Vickie Peterson,sanchezrobert@cuevas-osborne.com,Salasland,10-09-2021
41,Leah Flores,deborahhancock@gmail.com,Port Shane,25-12-2024
42,Karen Prince,orogers@yahoo.com,Michaelhaven,15-09-2022
43,Renee Torres,tamaraross@floyd.com,East Dale,21-01-2023
44,Rita Stewart,stevenflynn@gmail.com,North Kevinland,18-09-2023
45,Dylan Rowe,amanda54@hotmail.com,West Emilyburgh,13-07-2021
46,Michael Mueller,gonzalescathy@yahoo.com,Mooreton,27-08-2024
47,Rachel Garner,vbrown@wilson.com,Port Cynthiahaven,27-08-2023
48,Richard Barajas,gadams@martin-miller.biz,West Kathryn,11-01-2025
49,Ronald Decker,dsmith@gmail.com,Shannonview,03-11-2020
50,Alexandra Hendricks,laurenkelly@cox-howard.com,Wadeshire,31-10-2023
